Track ID,Track name,Artist name,Languages,Genre,Sub genre,Track popularity
2EPOgSRhA90xWGVtNZwEv8,Tu Har Lamha,Arijit Singh,Hindi,Love,Romance,67
6Ec5LeRzkisa5KJtwLfOoW,Am I Dreaming (Metro Boomin & A$AP Rocky||| Roisee),Metro Boomin & A$AP Rocky,English,Hip-hop,Trap,82
4JHg4nNYUJQ5HULcCmI18R,What You Know,Two door cinema club,English,Indie,Dance-punk,77
7FAFkQQZFeNwOFzTrSDFIh,The Spins,Mac Miller,English,Hip-hop,Rap,83
1AHfovSnGPVYKaahRtA0U6,The Message,Nas,English,Hip-hop,Rap,66
5vfSztc2i3NV2a4VJ85rkC,Je Jatt Bigr Gaya,Dr Zeus,Punjabi,Hip-hop,Rap,44
3DErMJzUrtfGUjet3xpUml,burbank house,Tsubi club,English,Indie,Electro-pop,59
0xIuPDzJSnJywALez8dwKR,With You,AP Dillon,Punjabi,Love,Chill,86
3TRELBIFeopjohZeKzVlL6,Hanging Hats,The Next step,English,TV-show,TV,37
5ouGWMPxx4Lv8vUWpfGcZT,Thursday,Peach pit,English,Indie,Surf rock,42
5XsoDbDt98b0FkFLOhsJuS,Lat Lag Gayee,Pritam,Hindi,Love,Bollywood,69
61sOHwvtdUIx3Wlls13hB5,Где ты||| где я,Timati,Russian,Rap,Hip-hop,54
5MSshyHGM9ajWSEoBcR0jv,Wurli,Dominic Fike,English,Indie,"Alt-pop, R&B",67
0AAMnNeIc6CdnfNU85GwCH,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),Metro Boomin & Coi Laray,English,Hip-hop,Rap,80
7vZz8oJ5qAqB9MghufRK5k,Zinda,Shankar -Ehshaan,Urdu,Rock,Progressive rock,66
3lIxtCaROdRDuTnNBDm3n2,She's My Collar (feat. Kali Uchis),Gorillaz,English,Rock,Alternative rock,75
2nRLVu5LYBxrQl9F7J0TP5,California Dreamin' - Remastered,The beach boys,English,Rock,American rock,31
1kmhdq0RfZFdfSLaTsiTVi,Relax||| Take It Easy,Mika,English,Indie,Indie-pop,56
2UZCTcfF0y4jiVdQkPcmO7,California Dreamin',The beach boys,English,Rock,American rock,48
5ruzrDWcT0vuJIOMW7gMnW,The Adults Are Talking,The strokes,English,Rock,Alternative rock,81
6FvC50ilLPOWDI4FOQc6tG,Do Right,Cassia,English,Indie,Indie-pop,14
6OiRh4kttAs1YWglvTcYkB,Alrighty Aphrodite,Peach pit,English,Iindie,Surf rock,70
4nc6XiUze2Yh7wFueGOPv7,"Chaleya (From ""Jawan"")",Arijit Singh,Urdu,Love,Bollywood,89
4WuOWVnAqvEQxgSRrspBgt,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],Metro Boomin & Travis Scott,English,Hip-hop,Rap,82
44KWbTVZev3SWdv1t5UoYE,How Much Is Weed?,Dominic Fike,English,Indie,"Alt-pop, R&B",73
65sNrvOp2HLlhGTeLJ0nnk,Being so Normal,Peach pit,English,Indie,Surf rock,58
37CoOXIsgF3NzbK1zHZetk,Mona Lisa (Spider-Man: Across the Spider-Verse),Dominic Fike,English,Indie,"Alt-pop, R&B",77
1gpBDeONibvJyQYEv5HJh9,Drop the Guillotine,Peach pit,English,Indie,Surf rock,62
7krpkx52sDmcO6U8ujbref,Alif Allah Chambey Di Booty,Arif Lohar & Anushka Manchanda,Urdu,Folk,Bollywood,40
1KuVdyg8d6NlRhbpHxg5UF,Social Cues,Cage the elephant,English,Rock,Alternative rock,68
6IRzBP4gVoV4D2zHmocoWy,Eternal Summer,The strokes,English,Rock,Alternative rock,61
0ug5NqcwcFR2xrfTkc7k8e,Style,Taylor Swift,English,Pop,Dream-pop,92
3C69IlbOWSehnK92GpU0f3,Damaa Dam Mast Kalandar (Traditional),Mika Singh,Punjabi,Party,Bollywood,40
1xLs8Mu1QEVbGCpyHQ2r2U,Why,Dominic Fike,English,Indie,"Alt-pop, R&B",73
3nIlBeSIVnDbWFO3mExxV2,FOOL'S GOLD,Aries,English,Pop-Rock,Electronic,56
7rNun2AyLu4u4rQpRt0iS9,Westcoast Collective,Dominic Fike,English,Indie,"Alt-pop, R&B",67
4UyAtnwhaKv7EG1BdkBYRI,Ready To Let Go,Cage the elephant,English,rock,Alternative rock,64
75DRLUnnltzSyuTJ7onxmW,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",Sachin-Jigar,Hindi,Love,Romance,69
6ldspFuERUcUlxX1RkmppI,Changing,The airborne toxic event,English,Rock,Alternative rock,30
3MrZcAFdNmtPVbob9QYvs4,DITTO,Aries,English,Pop-Rock,Electronic,51
0AJhcuRl3i1FfPNr88ZScv,You're in Love with a Psycho,Kasabian,English,Rock,Modern rock,61
4atMrAadB7dS8xn9vfk9PQ,Fireside,Arctic monkeys,English,Rock,Indie rock,70
4FN395EYfdCGrBthUfJzug,Spiderhead,Cage the elephant,English,Rock,Alternative rock,54
7oWbeO9v3Cfs900q7JhLAs,Come A Little Closer,Cage the elephant,English,rock,Alternative rock,71
1pNUmVxDiE8t6P1XxcZAv8,Scrawny,Wallows,English,Indie,Post-punk,72
6wVWJl64yoTzU27EI8ep20,Crying Lightning,Arctic monkeys,English,Rock,Indie rock,75
1xafrgeBMaBBrnr1e7rkaC,City Blues,the walters,English,Pop-Rock,Indie rock,41
6lMPUipRF49L8AxLW3F40B,Getaway Green,All time low,English,Pop-punk,Emo,44
1RKUoGiLEbcXN4GY4spQDx,Clint Eastwood,Gorillaz,English,Rock,Alternative rock,78
1foMv2HQwfQ2vntFf9HFeG,Rhinestone Eyes,Gorillaz,English,rock,Alternative rock,79
